PID, Date, Time, RunType, Scenario, Trial, Task, Mode, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,5/6/2015,14:06:34,Main Run,1A,7,Nav Hard,Audio Only,Jump to trial 7,0:00:00.00,0.001,NA,NA,
xxx,5/6/2015,14:06:35,Main Run,1A,7,Nav Hard,Audio Only,(nav) end prompt,0:00:01.35,1.354,NA,NA,
xxx,5/6/2015,16:58:31,Main Run,1A,1,TDT Long,NA,Start Run,0:00:00.00,0,NA,NA,
xxx,5/6/2015,16:58:36,Main Run,1A,1,TDT Long,NA,chime,0:00:05.01,5.017,NA,NA,
xxx,5/6/2015,16:58:42,Main Run,1A,7,Nav Easy,Audio Only,Jump to trial 7,0:00:00.00,-5.017,NA,NA,
xxx,5/6/2015,16:58:43,Main Run,1A,7,Nav Easy,Audio Only,(nav) end prompt,0:00:01.12,1.127,NA,NA,
