PID, Date, Time, RunType, Scenario, Trial, Task, Mode, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,5/5/2015,16:16:52,Main Run,4A,1,TDT Long,NA,Start Run,0:00:00.00,0,NA,NA,
xxx,5/5/2015,16:16:56,Main Run,4A,2,Radio,Visual Only,Jump to trial 2,0:00:00.00,0,NA,NA,
xxx,5/5/2015,16:16:57,Main Run,4A,2,Radio,Visual Only,chime,0:00:01.12,1.125,NA,NA,
xxx,5/5/2015,16:16:59,Main Run,4A,2,Radio,Visual Only,chime,0:00:03.21,2.094,NA,NA,
xxx,5/5/2015,16:17:02,Main Run,4A,2,Radio,Visual Only,r_command_correct,0:00:05.95,2.734,NA,NA,
xxx,5/5/2015,16:17:08,Main Run,4A,2,Radio,Visual Only,r_confirm_correct,0:00:11.51,5.563,NA,yes,
xxx,5/5/2015,16:17:08,Main Run,4A,3,Radio,Visual Only,next trial,0:00:11.54,0.031,NA,NA,
xxx,5/5/2015,16:17:10,Main Run,4A,3,Radio,Visual Only,chime,0:00:13.78,2.235,NA,NA,
